id,species,maxwt_all,log_wt,rmax,t_median,t_med_corr,invtemp,invtemp_scaled,depth_median,depth_scaled
1,Callorhinchus_milii,14480.65947,4.160788341,0.491788225,14.51,14.51,40.34104501,0.066837007,109.5,-0.208017022
2,Callorhinchus_capensis,5250,3.720159303,0.604497153,11.751,11.751,40.73171034,0.280518646,183,-0.088000473
3,Chimaera_monstrosa,2500,3.397940009,0.272023859,9.997,9.997,40.98402953,0.418529298,812.5,0.939896367
4,Leucoraja_naevus,2280.500881,3.358030244,0.435848861,11.774,11.774,40.72842234,0.278720215,241,0.006706464
5,Leucoraja_erinacea,927.6977296,2.967406494,0.655138624,11.919,11.919,40.70770588,0.267388962,45.5,-0.312521228
6,Leucoraja_ocellata,11557.09362,4.062848631,0.304721456,11.6345,11.6345,40.74837292,0.289632552,159,-0.12718955
7,Amblyraja_radiata,11400,4.056904851,0.284205752,4.27,4.27,41.83009519,0.881300586,692,0.743134541
8,Raja_miraletus,1287.188266,3.109642072,1.395139282,14.031,14.031,40.40833136,0.103640522,261,0.039364029
9,Raja_montagui,12871.64427,4.109634029,0.686722213,11.846,11.846,40.71813291,0.273092221,252,0.024668125
10,Raja_microocellata,4500,3.653212514,0.649457033,11.9185,11.9185,40.70777728,0.267428016,50.5,-0.304356837
11,Raja_brachyura,14280,4.154728207,0.652371229,13.6175,13.6175,40.46659753,0.135510285,146,-0.148416967
12,Raja_asterias,3346.827067,3.524633273,0.883849061,14.0825,14.0825,40.40108626,0.099677678,172,-0.105962133
13,Raja_clavata,18000,4.255272505,0.731301311,12.289,12.289,40.65493856,0.238526899,150.5,-0.141069015
14,Beringraja_binoculata,91000,4.959041392,0.814461362,7.4255,7.4255,41.35965189,0.623982906,60.5,-0.288028055
15,Torpedo_californica,41000,4.612783857,0.28854261,9.978,9.978,40.98677986,0.420033644,99.5,-0.224345804
16,Torpedo_marmorata,3000,3.477121255,0.12761503,16.421,16.421,40.0748176,-0.078781005,46,-0.311704789
17,Torpedo_torpedo,2747.179487,3.438887035,0.263838739,14.859,14.859,40.29216104,0.040099012,150.5,-0.141069015
18,Rhinobatos_productus,18400,4.264817823,0.268414463,14.2075,14.2075,40.38351186,0.090065034,46.25,-0.311296569
19,Aetobatus_flagellum,13930,4.143951116,0.221585282,22.451,22.451,39.25732663,-0.525922838,100.5,-0.222712926
20,Myliobatis_californicus,82100,4.914343157,0.296263795,13.9705,13.9705,40.41684592,0.108297717,54.5,-0.297825324
21,Manta_birostris,3000000,6.477121255,0.0673616,26.503,26.503,38.72647699,-0.816280882,60.5,-0.288028055
22,Dasyatis_americana,135630,5.132355762,0.269553303,27.6,27.6,38.58522031,-0.893543837,27,-0.342729475
23,Pteroplatytrygon_violacea,11491.35866,4.06037138,0.480791564,15.754,15.754,40.16733935,-0.028174521,119.5,-0.19168824
24,Notorynchus_cepedianus,107000,5.029383778,0.236439882,14.546,14.546,40.33599705,0.064075933,68.5,-0.274965029
25,Deania_calcea,7598.262515,3.880714294,0.076585681,7.499,7.499,41.34882009,0.618058251,691,0.741501663
26,Centrophorus_squamosus,30945.8128,4.490601894,0.054130494,2.4915,2.4915,42.09999223,1.02892577,1886,2.692791136
27,Squalus_acanthias,9100,3.959041392,0.147143681,8.437,8.437,41.21108222,0.542719973,300.5,0.103862718
28,Etmopterus_spinax,850,2.929418926,0.183380911,6.875,6.875,41.44096066,0.668456244,966,1.190543173
29,Rhincodon_typus,34000000,7.531478917,0.187519428,9.804,9.804,41.01198431,0.433819684,350.5,0.185506629
30,Alopias_superciliosus,363800,5.560862695,0.092903563,9.861,9.861,41.00372427,0.4293017,362,0.204284729
31,Carcharias_taurus,158810,5.200877846,0.0633356,20.776,20.776,39.48104288,-0.403557092,96,-0.230060878
32,Cetorhinus_maximus,4000000,6.602059991,0.146895563,3.861,3.861,41.89185631,0.915081973,1000.5,1.246877472
33,Lamna_ditropis,175000,5.243038049,0.218735184,3.927,7.427,41.35943077,0.623861964,325.5,0.144684674
34,Lamna_nasus,230000,5.361727836,0.137446621,9.191,12.691,40.59776242,0.207253349,350.5,0.185506629
35,Carcharodon_carcharias,1208380,6.082203529,0.139571223,6.317,9.817,41.01010015,0.432789106,650.5,0.675370095
36,Isurus_oxyrinchus,505760,5.703944478,0.116395136,12.476,15.976,40.13649761,-0.045043983,250.5,0.022218807
37,Scyliorhinus_canicula,1320,3.120573931,0.426272888,12.2645,12.2645,40.65842838,0.240435722,146,-0.148416967
38,Galeorhinus_galeus,44670,4.650015952,0.195573649,9.4425,9.4425,41.06444795,0.462515646,400,0.266334101
39,Triakis_semifasciata,18420,4.265289626,0.271586185,13.252,13.252,40.51824012,0.163757156,46,-0.311704789
40,Furgaleus_macki,12900,4.11058971,0.296854277,15.382,15.382,40.2191265,0.000151421,110.5,-0.206384144
41,Mustelus_manazo,5720,3.757396029,0.403794186,15.173,15.173,40.2482806,0.016097795,180.5,-0.092082668
42,Mustelus_antarcticus,30800,4.488550717,0.387206376,13.7655,13.7655,40.44572359,0.124092897,175.5,-0.100247059
43,Mustelus_canis,12150,4.084576278,0.451684785,10.828,10.828,40.86409866,0.352930887,400,0.266334101
44,Galeocerdo_cuvier,807400,5.907088745,0.271077723,24.223,24.223,39.02339825,-0.653874296,70.5,-0.271699272
45,Sphyrna_lewini,152400,5.182984967,0.464941203,16.2465,16.2465,40.09898187,-0.065563909,138,-0.161479993
46,Sphyrna_tiburo,10760,4.031812271,0.556760818,26.016,26.016,38.78951822,-0.781799311,40.5,-0.320685619
47,Rhizoprionodon_terraenovae,7250,3.860338007,0.499373448,19.41,19.41,39.66538491,-0.302727803,140.5,-0.157397797
48,Negaprion_brevirostris,183700,5.264109156,0.126349184,25.91,25.91,38.80326693,-0.774279199,46.5,-0.31088835
49,Carcharhinus_limbatus,122750,5.089021501,0.131132696,27.463,27.463,38.60280496,-0.883925586,15.5,-0.361507574
50,Carcharhinus_tilstoni,52000,4.716003344,0.292007184,25.81,25.81,38.81624635,-0.767179867,75.5,-0.263534881
51,Carcharhinus_signatus,76650,4.884512159,0.20421129,12.901,12.901,40.56795819,0.190951373,300.5,0.103862718
52,Carcharhinus_amblyrhynchos,33700,4.527629901,0.142405571,25.43,25.43,38.86564742,-0.740159032,70.5,-0.271699272
53,Carcharhinus_falciformis,346000,5.539076099,0.15549363,14.5185,14.5185,40.33985302,0.066185025,242,0.008339342
54,Prionace_glauca,205930,5.313719619,0.577147025,13.275,13.275,40.5149865,0.161977526,175.5,-0.100247059
55,Carcharhinus_plumbeus,117930,5.071624299,0.147670951,18.191,18.191,39.83134886,-0.211950744,140.5,-0.157397797
56,Carcharhinus_sorrah,28000,4.447158031,0.319844237,25.488,25.488,38.85809913,-0.744287712,66,-0.279047224
57,Carcharhinus_longimanus,167370,5.223677616,0.212197674,22.872,22.872,39.20149519,-0.556460878,76.5,-0.261902003
58,Carcharhinus_obscurus,346540,5.539753371,0.091513707,15.9135,15.9135,40.14517574,-0.040297318,200.5,-0.059425104
59,Carcharhinus_galapagensis,85450,4.931712067,0.1925313,19.631,19.631,39.63544427,-0.31910439,140.5,-0.157397797
60,Carcharhinus_leucas,316500,5.500373714,0.113908049,24.534,24.534,38.98262926,-0.676173652,76.5,-0.261902003
61,Carcharhinus_brevipinna,89700,4.952792443,0.179567468,26.864,26.864,38.6798783,-0.841768897,38,-0.324767815
62,Carcharhinus_brachyurus,304600,5.483729899,0.123547339,23.2105,23.2105,39.15671963,-0.580951698,50.5,-0.304356837
63,Carcharhinus_acronotus,18860,4.275541688,0.240679998,27.6195,27.6195,38.58271869,-0.894912146,24,-0.34762811
